view,r4a_reco,market_bin,above_ma200,sent7_gt_0_2,prev_rule_ok,n_closed,pct_win,pct_loss,mean_delta,total_delta
weekly,NO,0-2,<0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,<0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,<0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,<0,NO,NO,55.0,70.9,29.1,4.2,233.7
weekly,NO,>2,>0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,>2,>0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,>2,>0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,>2,>0,NO,NO,32.0,65.6,34.4,0.4,14.1
weekly,NO,>2,<0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,>2,<0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,>2,<0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,>2,<0,NO,NO,11.0,63.6,36.4,5.8,64.3
cumulative,YES,<0,>0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,<0,>0,,NO,254.0,47.6,52.4,-0.4,-100.2
cumulative,YES,<0,<0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,<0,<0,,NO,87.0,40.2,59.8,-0.2,-14.0
cumulative,YES,0-2,>0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,0-2,>0,,NO,380.0,42.9,57.1,-0.7,-262.2
cumulative,YES,0-2,<0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,0-2,<0,,NO,137.0,40.9,59.1,-0.5,-64.6
cumulative,YES,>2,>0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,>2,>0,,NO,194.0,52.1,47.9,0.2,46.4
cumulative,YES,>2,<0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,>2,<0,,NO,64.0,54.7,45.3,0.4,26.5
cumulative,NO,<0,>0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,<0,>0,,NO,529.0,49.3,50.7,1.3,696.7
cumulative,NO,<0,<0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,<0,<0,,NO,304.0,38.2,61.8,0.8,248.2
cumulative,NO,0-2,>0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,0-2,>0,,NO,393.0,38.4,61.6,-1.8,-705.9
cumulative,NO,0-2,<0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,0-2,<0,,NO,209.0,46.4,53.6,2.7,561.1
cumulative,NO,>2,>0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,>2,>0,,NO,152.0,40.1,59.9,-0.7,-99.6
cumulative,NO,>2,<0,,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,>2,<0,,NO,110.0,50.9,49.1,0.7,76.5
