symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
PRCT,PROCEPT BioRobotics Corporation,37.39,40.78,40.83,46.94,0.1%,9.2%,15.1%,25.5%
EVH,Evolent Health Inc.,8.38,9.63,9.63,11.08,0.0%,15.0%,15.0%,32.2%
ADV,Advantage Solutions Inc.,,1.78,1.78,2.04,0.0%,,14.6%,
LFST,LIFESTANCE HEALTH GROUP,,5.38,5.39,6.14,0.1%,,14.0%,
AVNW,Aviat Networks Inc.,23.76,22.40,22.43,25.38,0.1%,-5.6%,13.3%,6.8%
ARCO,Arcos Dorados Holdings Inc.,6.71,7.01,7.02,7.85,0.1%,4.6%,12.0%,17.0%
DBRG,DIGITALBRIDGE GROUP INC.,12.04,11.24,11.26,12.55,0.2%,-6.5%,11.6%,4.2%
ARDT,Ardent Health Inc.,12.82,13.18,13.21,14.69,0.2%,3.0%,11.4%,14.6%
DAR,DARLING INGREDIENTS INC.,31.93,32.10,32.12,35.59,0.1%,0.6%,10.9%,11.5%
BRZE,Braze Inc.,32.04,31.47,31.51,34.86,0.1%,-1.7%,10.7%,8.8%
QUAD,Quad/Graphics Inc.,6.57,6.62,6.63,7.29,0.1%,0.9%,10.0%,10.9%
CTRA,Coterra Energy Inc.,,24.02,24.07,26.34,0.2%,,9.7%,
SPB,Superior Plus Corp.,,56.97,57.03,62.36,0.1%,,9.5%,
AHCO,AdaptHealth Corp,,9.52,9.54,10.42,0.2%,,9.4%,
CHMI,Cherry Hill Mortgage Investment Corporation,2.53,2.90,2.91,3.18,0.2%,15.0%,9.4%,25.5%
KNF,Knife River Corporation,,80.49,80.58,88.00,0.1%,,9.3%,
BWMX,Betterware de México S.A.P.I. de C.V.,13.34,13.72,13.75,14.96,0.2%,3.1%,9.0%,12.1%
MRVL,Marvell Technology Inc.,74.26,63.42,63.49,69.05,0.1%,-14.5%,8.9%,-7.0%
NRDS,NerdWallet Inc.,11.08,10.70,10.71,11.64,0.1%,-3.4%,8.8%,5.0%
ASIX,AdvanSix Inc.,20.41,20.67,20.71,22.49,0.2%,1.5%,8.8%,10.2%
SPNT,SiriusPoint Ltd.,17.69,18.80,18.84,20.42,0.2%,6.5%,8.6%,15.4%
CRM,Salesforce Inc.,,256.80,257.36,278.59,0.2%,,8.5%,
MTDR,MATADOR RESOURCES COMPANY,45.43,48.31,48.41,52.39,0.2%,6.6%,8.4%,15.3%
LKQ,LKQ Corporation,,32.42,32.48,35.15,0.2%,,8.4%,
HQY,HealthEquity Inc.,93.74,91.60,91.71,99.23,0.1%,-2.2%,8.3%,5.9%
ITGR,Integer Holding Corporation,,107.08,107.32,115.46,0.2%,,7.8%,
TNC,Tennant Company,80.66,83.04,83.19,89.48,0.2%,3.1%,7.8%,10.9%
NESR,National Energy Services Reunited Corp.,10.18,9.54,9.56,10.28,0.2%,-6.1%,7.7%,0.9%
DVN,Devon Energy Corporation,33.96,34.80,34.88,37.45,0.2%,2.7%,7.6%,10.3%
KRO,Kronos Worldwide Inc.,,6.21,6.22,6.65,0.2%,,7.2%,
MAX,MediaAlpha Inc,12.93,12.41,12.43,13.25,0.2%,-3.8%,6.7%,2.5%
UTL,Unitil Corporation,45.31,46.54,46.61,49.63,0.1%,2.9%,6.6%,9.5%
SLB,Schlumberger Limited,,35.86,35.95,38.23,0.2%,,6.6%,
DXCM,DexCom Inc.,67.45,80.60,80.80,85.92,0.2%,19.8%,6.6%,27.4%
CSTM,Constellium SE,,14.61,14.64,15.56,0.3%,,6.6%,
COP,CONOCO PHILLIPS,91.92,93.04,93.28,98.89,0.3%,1.5%,6.3%,7.6%
CHE,Chemed Corporation,452.25,466.09,467.29,494.90,0.3%,3.3%,6.2%,9.4%
ZTS,Zoetis Inc.,145.88,153.47,153.87,162.60,0.3%,5.5%,6.0%,11.5%
MPAA,Motorcar Parts of America Inc.,16.56,14.54,14.57,15.40,0.2%,-12.0%,5.9%,-7.0%
TBLA,Taboola.com Ltd.,3.50,3.37,3.38,3.57,0.3%,-3.4%,5.8%,2.0%
UTZ,Utz Brands Inc.,12.77,13.86,13.90,14.67,0.3%,8.8%,5.8%,14.8%
DDL,Dingdong (Cayman) Limited,2.11,2.17,2.18,2.29,0.3%,3.2%,5.7%,8.8%
DHR,Danaher Corporation,193.29,200.39,200.72,211.58,0.2%,3.8%,5.6%,9.5%
CIVI,Civitas Resources Inc.,30.80,34.42,34.51,36.33,0.3%,12.1%,5.6%,18.0%
BIIB,Biogen Inc.,142.50,140.79,141.14,148.52,0.2%,-1.0%,5.5%,4.2%
CAL,Caleres Inc.,14.32,15.71,15.74,16.53,0.2%,9.9%,5.2%,15.4%
WDAY,Workday Inc.,233.62,231.27,231.90,243.26,0.3%,-0.7%,5.2%,4.1%
TWLO,Twilio Inc.,106.50,108.76,108.95,114.33,0.2%,2.3%,5.1%,7.4%
HRTG,Heritage Insurance Holdings Inc.,28.40,24.11,24.17,25.32,0.3%,-14.9%,5.0%,-10.8%
HAL,Halliburton Company,22.51,22.12,22.18,23.21,0.3%,-1.5%,5.0%,3.1%
SLVM,Sylvamo Corporation,,45.41,45.50,47.46,0.2%,,4.5%,
HBM,Hudbay Minerals Inc.,13.88,12.73,12.76,13.25,0.2%,-8.1%,4.1%,-4.5%
PFE,Pfizer Inc.,24.03,24.90,24.97,25.88,0.3%,3.9%,3.9%,7.7%
SMP,Standard Motor Products Inc.,,40.02,40.13,41.58,0.3%,,3.9%,
UPWK,Upwork Inc.,20.07,16.20,16.25,16.82,0.3%,-19.0%,3.8%,-16.2%
UHS,Universal Health Services Inc.,188.64,190.23,190.80,197.20,0.3%,1.1%,3.7%,4.5%
MU,Micron Technology Inc.,162.73,131.45,131.80,136.19,0.3%,-19.0%,3.6%,-16.3%
INSW,International Seaways Inc.,,46.82,46.96,48.47,0.3%,,3.5%,
TCOM,Trip.com Group Limited,78.52,72.83,72.98,75.27,0.2%,-7.0%,3.4%,-4.1%
AMZN,Amazon.com Inc.,231.48,232.45,233.16,240.07,0.3%,0.7%,3.3%,3.7%
CCJ,Cameco Corp,86.18,75.89,76.04,78.26,0.2%,-11.8%,3.1%,-9.2%
MATV,Mativ Holdings Inc.,12.28,12.44,12.46,12.82,0.2%,1.5%,3.1%,4.4%
ALK,Alaska Air Group Inc,57.25,63.40,63.59,65.38,0.3%,11.1%,3.1%,14.2%
EFX,Enerflex Ltd.,257.58,249.79,250.31,257.41,0.2%,-2.8%,3.0%,-0.1%
CVNA,Carvana Co.,391.89,369.06,370.20,380.26,0.3%,-5.5%,3.0%,-3.0%
CVS,CVS Health Corporation,74.92,73.81,74.04,75.86,0.3%,-1.2%,2.8%,1.3%
BILL,BILL Holdings Inc.,52.34,51.56,51.68,52.99,0.2%,-1.3%,2.8%,1.2%
PFGC,Performance Food Group Company,105.51,105.47,105.80,108.35,0.3%,0.3%,2.7%,2.7%
AHL,Aspen Insurance Holdings Limited,,36.63,36.70,37.62,0.2%,,2.7%,
IMXI,International Money Express Inc.,14.40,14.49,14.52,14.86,0.2%,0.8%,2.6%,3.2%
MA,Mastercard Incorporated,584.16,584.46,586.30,599.36,0.3%,0.4%,2.5%,2.6%
LW,Lamb Weston Holdings Inc.,55.66,58.02,58.18,59.39,0.3%,4.5%,2.4%,6.7%
ZM,Zoom Video Communications Inc.,84.16,83.71,83.93,85.68,0.3%,-0.3%,2.3%,1.8%
PRU,Prudential Financial Inc.,103.59,105.75,106.09,108.22,0.3%,2.4%,2.3%,4.5%
TXG,Torex Gold Resources Inc.,13.04,13.96,14.01,14.24,0.3%,7.4%,2.0%,9.2%
ASML,ASML Holding N.V.,932.15,781.93,784.49,796.29,0.3%,-15.8%,1.8%,-14.6%
FSLR,First Solar Inc.,212.49,205.20,205.67,208.91,0.2%,-3.2%,1.8%,-1.7%
RCI,Rogers Communications Inc.,35.38,35.90,36.02,36.52,0.3%,1.8%,1.7%,3.2%
CG,Centerra Gold Inc.,68.17,63.77,63.98,64.84,0.3%,-6.2%,1.7%,-4.9%
MANH,MANHATTAN ASSOCIATES INC.,217.71,215.36,216.08,218.47,0.3%,-0.7%,1.4%,0.3%
XPO,XPO Inc.,130.94,130.94,131.33,132.78,0.3%,0.3%,1.4%,1.4%
PEP,PepsiCo Inc.,141.76,146.42,146.87,148.36,0.3%,3.6%,1.3%,4.7%
ZBH,Zimmer Biomet Holdings Inc.,100.09,105.75,106.11,107.03,0.3%,6.0%,1.2%,6.9%
UAL,United Airlines Holdings Inc.,106.31,106.60,106.96,107.11,0.3%,0.6%,0.5%,0.7%
AVGO,Broadcom Inc.,344.94,359.90,360.82,361.53,0.3%,4.6%,0.5%,4.8%
TX,Ternium S.A.,35.19,34.58,34.70,34.61,0.4%,-1.4%,0.1%,-1.7%
MD,Pediatrix Medical Group Inc.,16.27,17.07,17.12,17.07,0.3%,5.2%,0.0%,4.9%
WELL,WELL Health Technologies Corp.,165.19,167.86,167.82,167.85,-0.0%,1.6%,-0.0%,1.6%
SNPS,SYNOPSYS INC.,,598.34,598.14,598.29,-0.0%,,-0.0%,
COUR,Coursera Inc.,11.65,11.26,11.26,11.26,-0.0%,-3.3%,-0.0%,-3.3%
SHOP,Shopify Inc.,,146.88,146.82,146.86,-0.0%,,-0.0%,
AMTM,Amentum Holdings Inc.,22.35,24.25,24.24,24.25,-0.0%,8.5%,-0.0%,8.5%
META,Meta Platforms Inc.,778.38,752.89,752.45,752.78,-0.1%,-3.3%,-0.0%,-3.3%
SPGI,S&P Global Inc.,,538.39,538.06,538.31,-0.1%,,-0.0%,
UBER,Uber Technologies Inc.,98.51,91.05,90.99,91.04,-0.1%,-7.6%,-0.0%,-7.6%
DDOG,Datadog Inc.,138.82,136.18,136.08,136.15,-0.1%,-2.0%,-0.0%,-1.9%
MDLZ,Mondelez International Inc.,63.71,61.79,61.74,61.78,-0.1%,-3.1%,-0.0%,-3.0%
AXON,Axon Enterprise Inc.,774.53,729.03,728.41,728.88,-0.1%,-6.0%,-0.0%,-5.9%
DOX,Amdocs Limited,83.79,85.40,85.33,85.39,-0.1%,1.8%,-0.0%,1.9%
HTO,H2O America,48.71,49.83,49.79,49.82,-0.1%,2.2%,-0.0%,2.3%
NVDA,NVIDIA Corporation,176.67,167.18,167.02,167.14,-0.1%,-5.5%,-0.0%,-5.4%
SMCI,Super Micro Computer Inc.,,40.45,40.41,40.44,-0.1%,,-0.0%,
MSFT,Microsoft Corporation,517.93,495.47,495.00,495.36,-0.1%,-4.4%,-0.0%,-4.4%
STZ,Constellation Brands Inc.,132.92,148.57,148.43,148.54,-0.1%,11.7%,-0.0%,11.7%
ATR,AptarGroup Inc.,134.44,136.41,136.25,136.37,-0.1%,1.3%,-0.0%,1.4%
FANG,DIAMONDBLACK ENERGY INC.,139.67,138.88,138.71,138.84,-0.1%,-0.7%,-0.0%,-0.6%
TRVG,trivago N.V.,3.37,3.34,3.34,3.34,-0.1%,-0.9%,-0.0%,-0.8%
SLGN,Silgan Holdings Inc.,,45.23,45.17,45.21,-0.1%,,-0.0%,
SSTK,Shutterstock Inc.,21.71,20.14,20.11,20.13,-0.1%,-7.4%,-0.0%,-7.3%
EEFT,Euronext Worldwide,89.21,91.31,91.16,91.27,-0.2%,2.2%,-0.0%,2.3%
FINV,FinVolution Group,7.66,7.92,7.91,7.92,-0.2%,3.3%,-0.0%,3.4%
TXO,TXO Partners L.P.,13.92,13.89,13.86,13.88,-0.2%,-0.4%,-0.1%,-0.3%
PAR,PAR Technology Corporation,42.32,48.41,48.30,48.38,-0.2%,14.1%,-0.1%,14.3%
VCEL,Vericel Corporation,31.68,34.13,34.05,34.11,-0.2%,7.5%,-0.1%,7.7%
KINS,Kingstone Companies Inc.,,13.74,13.71,13.73,-0.2%,,-0.1%,
LNTH,lantea holdings inc,50.41,54.88,54.75,54.85,-0.2%,8.6%,-0.1%,8.8%
CBZ,CBIZ Inc.,53.78,58.10,57.95,58.06,-0.3%,7.8%,-0.1%,8.0%
MDXG,MiMedx Group Inc.,7.02,7.16,7.14,7.16,-0.3%,1.7%,-0.1%,1.9%
DUOL,Duolingo Inc.,290.90,271.96,271.18,271.77,-0.3%,-6.8%,-0.1%,-6.6%
GDYN,Grid Dynamics Holdings Inc.,7.53,7.78,7.76,7.78,-0.3%,3.1%,-0.1%,3.3%
SLP,Simulations Plus Inc.,,13.89,13.84,13.87,-0.3%,,-0.1%,
NX,Quanex Building Products Corporation,13.74,18.24,18.18,18.23,-0.3%,32.3%,-0.1%,32.7%
DAVA,Endava plc,9.23,10.21,10.18,10.21,-0.3%,10.3%,-0.1%,10.6%
UIS,Unisys Corporation,4.02,3.90,3.88,3.89,-0.4%,-3.5%,-0.1%,-3.2%
BTM,Bitcoin Depot Inc.,3.66,3.54,3.52,3.53,-0.4%,-3.8%,-0.1%,-3.5%
MNMD,Mind Medicine (MindMed) Inc.,9.04,9.28,9.22,9.27,-0.7%,2.0%,-0.2%,2.5%
SPRY,ARS Pharmaceuticals Inc.,9.79,10.24,10.15,10.22,-0.9%,3.7%,-0.2%,4.4%
LVO,LiveOne Inc.,0.51,0.45,0.44,0.45,-1.3%,-13.8%,-0.3%,-13.0%
AAPL,Apple Inc.,245.50,239.67,240.54,238.65,0.4%,-2.0%,-0.4%,-2.8%
MDB,MongoDB,323.43,324.71,325.59,322.82,0.3%,0.7%,-0.6%,-0.2%
GOOGL,Alphabet Inc.,254.72,234.98,235.64,233.61,0.3%,-7.5%,-0.6%,-8.3%
CVE,Cenovus Energy Inc.,,15.95,16.00,15.77,0.3%,,-1.1%,
HLF,High Liner Foods Incorporated,9.13,9.86,9.89,9.73,0.3%,8.3%,-1.3%,6.5%
CLS,CELESTICA INC.,252.93,242.61,243.33,238.47,0.3%,-3.8%,-1.7%,-5.7%
ALAB,Astera Labs,,191.14,191.88,187.24,0.4%,,-2.0%,
W,Wayfair Inc.,89.31,89.58,89.93,87.50,0.4%,0.7%,-2.3%,-2.0%
CDE,Coeur Mining Inc.,17.42,14.66,14.72,14.27,0.4%,-15.5%,-2.7%,-18.1%
TSLA,Tesla Inc.,426.07,350.68,352.09,340.72,0.4%,-17.4%,-2.8%,-20.0%
ERIE,Erie Indemnity Company,317.99,334.19,335.93,279.83,0.5%,5.6%,-16.3%,-12.0%
